Right/Wrong,Conf Pred Right,Actual,Ranking Array
Right,52.38,"['Beverly Hills, California', 'Los Angeles, California']","[('Beverly Hills, California', 33), ('Los Angeles, California', 20), ('Moved in 2019', 2), ('San Francisco, California', 2), ('Chicago, Illinois', 1), ('Moved in 2017', 1), ('Carson, California', 1), ('New York, New York', 1), ('Paris, France', 1), ('Bristol, United Kingdom', 1)]"
Wrong,32.26,1997,[]
Right,18.64,"['University of Southern California', 'Beverly Hills High School']",[]
Right,78.72,['Beverly Hills High School'],"[('Beverly Hills High School', 37), ('Milken Community Schools', 4), ('El Rodeo School', 2), ('Solebury School', 1), ('University of Southern California', 1), ('Sinai Akiba Academy', 1), ('Milken Community School', 1)]"
Right,44.44,"['Beverly Hills, California', 'Los Angeles, California']",[]
Right,81.25,['Beverly Hills High School'],"[('Beverly Hills High School', 13), ('rosewood ave elementary', 1), (""Bishop Cotton Girls' School"", 1), ('John Burroughs Middle School', 1)]"
Right,80.36,['Beverly Hills High School'],"[('Beverly Hills High School', 45), ('Milken Community Schools', 3), ('BHHS', 1), ('Shrewsbury International School Bangkok, Thailand', 1), ('University of Southern California', 1), ('Sinai Akiba Academy', 1), ('Campbell Hall School', 1), ('Milken Community School', 1), ('Newport Harbor High', 1), ('American School Foundation', 1)]"
Wrong,34.38,1990,"[('1997', 11), ('1996', 10), ('1998', 4), ('1999', 2), ('1990', 2), ('1994', 2), ('1954', 1)]"
Right,20.0,['UCLA'],[]
Right,81.25,['Beverly Hills High School'],"[('Beverly Hills High School', 39), ('Milken Community Schools', 2), ('El Rodeo School', 1), ('Shrewsbury International School Bangkok, Thailand', 1), ('Solebury School', 1), ('Campbell Hall School', 1), ('Milken Community School', 1), ('Newport Harbor High', 1), ('American School Foundation', 1)]"
Wrong,29.17,1996,"[('1998', 7), ('1997', 6), ('1996', 4), ('1999', 2), ('1990', 2), ('1954', 1), ('1995', 1), ('1994', 1)]"
Wrong,21.62,"['Santa Monica College', 'Beverly Hills high school']",[]
Right,92.31,"['Beverly Hills High School', 'opportunitys for learning']","[('Beverly Hills High School', 24), ('Horace Mann School', 1), ('El Rodeo School', 1)]"
Wrong,46.34,"['Phoenix, Arizona', 'Los Angeles, California', 'Moved in 2014']","[('Beverly Hills, California', 19), ('Los Angeles, California', 13), ('San Francisco, California', 2), ('Nesconset, New York', 1), ('Mayaguez, Puerto Rico', 1), ('Toronto, Ontario', 1), ('Moved in 2019', 1), ('Paris, France', 1), ('Bristol, United Kingdom', 1), ('Sherman Oaks', 1)]"
Wrong,43.75,1997,"[('1996', 7), ('1997', 5), ('1994', 2), ('1954', 1), ('1995', 1)]"
Wrong,19.23,['Musicians Institute'],[]
Right,89.47,['Beverly Hills High School'],"[('Beverly Hills High School', 17), ('Venice High School', 1), ('El Rodeo School', 1)]"
Wrong,50.0,"['Benicia, California', 'Los Angeles, California']","[('Beverly Hills, California', 13), ('Los Angeles, California', 9), ('Manhattan, New York', 1), ('Frisco, Texas', 1), ('Long Beach, California', 1), ('Moved in 2015', 1)]"
Right,23.64,"['California State University, Dominguez Hills', 'UCLA']",[]
Right,50.77,"['Beverly Hills, California', 'Los Angeles, California']",[]
Right,44.44,Jewish (religion),"[('Jewish (religion)', 8), ('Jewish', 2), ('Jewish. ♥ Jewish. ♥', 1), ('cristian', 1), ('Islam', 1), ('none of ur business', 1), ('Christians', 1), ('Jew - Reform', 1), ('Unitarian', 1), ('Atheist', 1)]"
Wrong,20.63,['University of Southern California'],[]
Wrong,32.35,1996,"[('1998', 11), ('1996', 7), ('1997', 6), ('1999', 4), ('1994', 2), ('1978', 1), ('1992', 1), ('1995', 1), ('1990', 1)]"
Wrong,55.26,"['Carson, California', 'Los Angeles, California']",[]
Wrong,25.58,1999,[]
Wrong,19.05,"['Pepperdine Caruso Law', 'UCLA']",[]
Wrong,76.19,['Beverly hills high school'],"[('Beverly Hills High School', 32), ('Milken Community Schools', 3), ('BHHS', 1), ('El Rodeo School', 1), ('Beverly Hills High', 1), ('University of Southern California', 1), ('Sinai Akiba Academy', 1), ('Milken Community School', 1), ('Newport Harbor High', 1)]"
Right,38.16,"['Beverly Hills, California']",[]
Right,79.59,['Beverly Hills High School'],"[('Beverly Hills High School', 39), ('Milken Community Schools', 2), ('BHHS', 1), ('Calabasas High School', 1), ('Lycée Français de Los Angeles', 1), ('El Rodeo School', 1), ('Campbell Hall School', 1), ('Milken Community School', 1), ('Newport Harbor High', 1), ('American School Foundation', 1)]"
Right,64.29,Jewish (religion),"[('Jewish (religion)', 9), ('Jewish', 2), ('Jewish. ♥ Jewish. ♥', 1), ('Christians', 1), ('Other', 1)]"
Wrong,42.86,1995,"[('1997', 9), ('1996', 6), ('1995', 3), ('1998', 1), ('1990', 1), ('1994', 1)]"
Wrong,40.0,1996,"[('1997', 14), ('1996', 8), ('1995', 5), ('1998', 3), ('1994', 3), ('1991', 1), ('1990', 1)]"
Wrong,24.59,['University of Southern California'],[]
Right,85.71,['Beverly Hills High School'],"[('Beverly Hills High School', 42), ('Milken Community Schools', 2), ('Horace Mann School', 1), ('Beverly Vista School', 1), ('El Rodeo School', 1), ('Solebury School', 1), ('Milken Community School', 1)]"
Right,48.68,"['Beverly Hills, California']",[]
Right,29.41,1998,"[('1998', 10), ('1996', 8), ('1997', 6), ('1999', 3), ('1994', 3), ('1990', 2), ('1978', 1), ('1995', 1)]"
Wrong,27.14,['University of Southern California'],[]
Right,85.45,['Beverly Hills High School'],"[('Beverly Hills High School', 47), ('Milken Community Schools', 3), ('BHHS', 1), ('El Rodeo School', 1), ('University of Southern California', 1), ('Sinai Akiba Academy', 1), ('Milken Community School', 1)]"
Wrong,30.0,1998,"[('1997', 9), ('1998', 8), ('1996', 5), ('1999', 2), ('1995', 2), ('1994', 2), ('1954', 1), ('1990', 1)]"
Wrong,26.83,"['University of California, Irvine']",[]
Right,94.12,['Beverly Hills High School'],"[('Beverly Hills High School', 32), ('Beverly hills high school', 1), ('Milken Community Schools', 1)]"
Wrong,49.02,"['Ventura, California', 'Denver, Colorado']","[('Beverly Hills, California', 25), ('Los Angeles, California', 20), ('San Francisco, California', 2), ('Moved in 2017', 1), ('Carson, California', 1), ('Natick, Massachusetts', 1), ('Paris, France', 1)]"
Wrong,54.55,Agnostic atheist,"[('Jewish (religion)', 6), ('Christianity', 1), ('•Cant Say•', 1), ('Christians', 1), ('Wumbology', 1), ('Jewish', 1)]"
Wrong,57.14,None,"[('Other', 4), ('party', 1), ('Health Care Party', 1), ('Democratic Party', 1)]"
Wrong,17.19,['Beverly Hills High School'],[]
Right,95.74,['Beverly Hills High School'],"[('Beverly Hills High School', 45), ('Horace Mann School', 1), ('El Rodeo School', 1)]"
Right,48.57,"['Beverly Hills, California']",[]
Right,64.71,Jewish (religion),"[('Jewish (religion)', 11), ('Islam', 1), ('none of ur business', 1), ('Jew - Reform', 1), (""Bahá'í"", 1), ('Jewish', 1), ('Other', 1)]"
Right,40.74,1996,"[('1996', 11), ('1997', 7), ('1995', 4), ('1994', 2), ('1954', 1), ('1998', 1), ('1990', 1)]"
Right,17.24,['University of Southern California'],[]
Right,92.31,['Beverly Hills High School'],"[('Beverly Hills High School', 36), ('Milken Community Schools', 2), ('El Rodeo School', 1)]"
Right,43.48,"['Los Angeles, California', 'Beverly Hills, California']",[]
Wrong,60.0,Jew - Reform,"[('Jewish (religion)', 9), ('Jewish', 2), ('Other', 2), ('Islam', 1), (""Bahá'í"", 1)]"
Wrong,60.0,Republican Party,"[('Other', 3), ('viva mexico y calderon tambien', 1), ('Democratic Party', 1)]"
Wrong,45.83,1996,"[('1997', 11), ('1996', 6), ('1995', 3), ('1994', 2), ('1954', 1), ('1990', 1)]"
Wrong,52.0,"['Los Angeles, California']",[]
Wrong,47.22,"['Los Angeles, California']",[]
Wrong,45.83,What are your religious beliefs?,[]
Wrong,42.86,What are your political beliefs?,"[('Republican Party', 3), ('Other', 2), ('Democratic Party', 1), ('Very conservative', 1)]"
Right,61.54,1996,"[('1996', 16), ('1997', 7), ('1994', 2), ('1995', 1)]"
Wrong,22.41,['Beverly Hills High School'],[]
Right,47.69,"['Beverly Hills, California', 'Paris, France']",[]
Wrong,73.33,Jewish,"[('Jewish (religion)', 11), ('Islam', 1), ('Jewish', 1), ('Catholic (church)', 1), ('Other', 1)]"
Wrong,26.79,"['USC Gould School of Law', 'University of California, Los Angeles']",[]
Right,100.0,['Beverly Hills High School'],"[('Beverly Hills High School', 36)]"
Wrong,18.18,['Santa Monica College'],[]
Right,84.0,['Beverly Hills High School'],"[('Beverly Hills High School', 42), ('Milken Community Schools', 4), ('El Rodeo School', 1), ('University of Southern California', 1), ('Sinai Akiba Academy', 1), ('Milken Community School', 1)]"
Wrong,47.37,"['Los Angeles, California']",[]
Right,36.84,1996,"[('1996', 7), ('1997', 6), ('1995', 4), ('1998', 1), ('1994', 1)]"
Wrong,13.56,"['Santa Monica College', 'Santa Barbara City College']",[]
Right,86.05,['Beverly Hills High School'],"[('Beverly Hills High School', 37), ('Calabasas High School', 1), ('Lycée Français de Los Angeles', 1), ('El Rodeo School', 1), ('Shrewsbury International School Bangkok, Thailand', 1), ('Palos Verdes Peninsula High', 1), ('Campbell Hall School', 1)]"
Right,39.73,"['Beverly Hills, California', 'Jackson, Wyoming']",[]
Wrong,50.0,['Milken Community Schools'],"[('Beverly Hills High School', 9), ('Milken Community Schools', 4), ('BHHS', 1), ('Beverly hills high school', 1), ('Solebury School', 1), ('University of Southern California', 1), ('Sinai Akiba Academy', 1)]"
Wrong,37.5,1980,"[('1994', 3), ('1996', 2), ('1999', 1), ('1998', 1), ('1997', 1)]"
Right,100.0,['Beverly Hills High School'],"[('Beverly Hills High School', 6)]"
Wrong,66.67,"['Redondo Beach, California']","[('Beverly Hills, California', 6), ('Los Angeles, California', 2), ('Mexico City, Mexico', 1)]"
Right,75.0,Jewish (religion),"[('Jewish (religion)', 3), ('Jewish/Catholic', 1)]"
Wrong,8.57,['Mlb'],[]
Right,46.43,"['Los Angeles, California', 'Beverly Hills, California']",[]
Wrong,28.21,1999,"[('1998', 11), ('1997', 8), ('1996', 8), ('1999', 3), ('1990', 3), ('1995', 2), ('1994', 2), ('1978', 1), ('1992', 1)]"
Right,23.33,['UCLA'],[]
Right,83.33,['Beverly Hills High School'],"[('Beverly Hills High School', 40), ('El Rodeo School', 2), ('Milken Community Schools', 2), ('BHHS', 1), ('University of Southern California', 1), ('Sinai Akiba Academy', 1), ('Milken Community School', 1)]"
Wrong,53.03,"['Los Angeles, California']",[]
Right,95.35,['Beverly Hills High School'],"[('Beverly Hills High School', 41), ('Douglas Marshall', 1), ('El Rodeo School', 1)]"
Wrong,46.67,Christians,"[('Jewish (religion)', 7), ('Other', 2), ('Jewish. ♥ Jewish. ♥', 1), ('Islam', 1), ('none of ur business', 1), (""Bahá'í"", 1), ('Jewish', 1), ('Catholic (church)', 1)]"
Right,81.13,['Beverly Hills High School'],"[('Beverly Hills High School', 43), ('Milken Community Schools', 2), ('BHHS', 1), ('Calabasas High School', 1), ('Lycée Français de Los Angeles', 1), ('Beverly Vista School', 1), ('El Rodeo School', 1), ('University of Southern California', 1), ('Sinai Akiba Academy', 1), ('Campbell Hall School', 1)]"
Right,28.57,1998,"[('1998', 10), ('1997', 7), ('1996', 6), ('1990', 4), ('1999', 3), ('1995', 2), ('1994', 2), ('1978', 1)]"
Right,88.89,['Beverly Hills High School'],"[('Beverly Hills High School', 40), ('Horace Mann School', 1), ('Brentwood Science Magnet Elementary School', 1), ('Venice High School', 1), ('opportunitys for learning', 1), ('El Rodeo School', 1)]"
Right,56.45,"['Beverly Hills, California']",[]
Wrong,50.0,Christians,[]
Right,28.57,Other,"[('Other', 2), ('viva mexico y calderon tambien', 1), ('Fuck_politics', 1), ('Democratic Party', 1), ('Republican Party', 1), ('Citizen of the World', 1)]"
Right,23.81,"['CSU Dominguez Hills', 'UCLA', 'Beverly Hills High School']",[]
Wrong,8.82,"['APEX by Sunglass Hut', 'BHBL']",[]
Wrong,19.35,['The University of Arizona'],[]
Right,85.19,['Beverly Hills High School'],"[('Beverly Hills High School', 46), ('Milken Community Schools', 3), ('Calabasas High School', 1), ('Lycée Français de Los Angeles', 1), ('El Rodeo School', 1), ('University of Southern California', 1), ('Sinai Akiba Academy', 1)]"
Right,47.44,"['Beverly Hills, California', 'Los Angeles, California', 'Moved in 2015']",[]
Wrong,57.89,none of ur business,"[('Jewish (religion)', 11), ('Jewish', 2), ('Other', 2), ('Islam', 1), (""Bahá'í"", 1), ('have none', 1), ('Catholic (church)', 1)]"
Right,71.43,Other,"[('Other', 5), ('viva mexico y calderon tambien', 1), ('Democratic Party', 1)]"
Wrong,5.26,"['Musician/Guitarist', 'Acting']",[]
Right,87.8,['Beverly Hills High School'],"[('Beverly Hills High School', 36), ('Brentwood Science Magnet Elementary School', 1), ('Shrewsbury International School Bangkok, Thailand', 1), ('Campbell Hall School', 1), ('Palisades Charter High School', 1), ('Newport Harbor High', 1)]"
Right,45.16,"['Beverly Hills, California', 'Colorado Springs, Colorado']",[]
Wrong,38.1,1996,"[('1997', 8), ('1996', 7), ('1995', 2), ('1990', 2), ('1980', 1), ('1994', 1)]"
Wrong,48.19,"['Los Angeles, California']",[]
Wrong,25.0,1997,"[('1998', 10), ('1997', 9), ('1996', 6), ('1999', 4), ('1990', 3), ('1994', 3), ('1992', 2), ('1978', 1), ('1932', 1), ('1995', 1)]"
Right,60.0,Jewish (religion),"[('Jewish (religion)', 9), ('Other', 2), ('Islam', 1), (""Bahá'í"", 1), ('have none', 1), ('Jewish', 1)]"
Wrong,20.34,['Santa Monica College'],[]
Right,90.7,['Beverly Hills High School'],"[('Beverly Hills High School', 39), ('Calabasas High School', 1), ('Lycée Français de Los Angeles', 1), ('El Rodeo School', 1), ('Milken Community School', 1)]"
Right,42.03,"['Beverly Hills, California']",[]
Wrong,53.85,Jewdaism,"[('Jewish (religion)', 7), ('Other', 2), ('Islam', 1), (""Bahá'í"", 1), ('Jewish', 1), ('Catholic (church)', 1)]"
Wrong,60.0,Republican Party,"[('Other', 3), ('viva mexico y calderon tambien', 1), ('Democratic Party', 1)]"
Right,41.38,1997,"[('1997', 12), ('1996', 6), ('1995', 4), ('1998', 2), ('1994', 2), ('1954', 1), ('1999', 1), ('1990', 1)]"
Right,86.84,['Beverly Hills High School'],"[('Beverly Hills High School', 33), ('rosewood ave elementary', 1), (""Bishop Cotton Girls' School"", 1), ('John Burroughs Middle School', 1), ('Venice High School', 1), ('El Rodeo School', 1)]"
Right,48.33,"['Beverly Hills, California', 'Los Angeles, California']",[]
Wrong,23.53,"['Santa Monica College', 'UCLA', 'Beverly Hills High School']",[]
Right,87.8,['Beverly Hills High School'],"[('Beverly Hills High School', 36), ('El Rodeo School', 2), ('Calabasas High School', 1), ('Lycée Français de Los Angeles', 1), ('Milken Community School', 1)]"
Right,42.62,"['Beverly Hills, California']",[]
Wrong,38.46,1996,"[('1997', 10), ('1996', 6), ('1998', 4), ('1995', 3), ('1954', 1), ('1990', 1), ('1994', 1)]"
Right,22.41,['University of Southern California'],[]
Right,56.25,Jewish (religion),"[('Jewish (religion)', 9), ('Jewish', 2), ('Other', 2), ('Islam', 1), (""Bahá'í"", 1), ('have none', 1)]"
Wrong,27.27,1995,"[('1997', 6), ('1996', 5), ('1998', 4), ('1995', 3), ('1990', 2), ('1954', 1), ('1994', 1)]"
Wrong,18.64,['Loyola Marymount University'],[]
Right,83.33,['Beverly Hills High School'],"[('Beverly Hills High School', 35), ('Milken Community Schools', 3), ('El Rodeo School', 1), ('University of Southern California', 1), ('Sinai Akiba Academy', 1), ('Milken Community School', 1)]"
Right,40.68,"['Beverly Hills, California']",[]
Right,25.42,['University of Southern California'],[]
Right,47.76,"['Beverly Hills, California']",[]
Right,50.0,Jewish (religion),"[('Jewish (religion)', 8), ('Jewish', 2), ('Other', 2), ('Islam', 1), (""Bahá'í"", 1), ('have none', 1), ('Catholic (church)', 1)]"
Right,18.52,"['University of Southern California', 'Beverly Hills High School', 'Santa Monica College']",[]
Right,93.18,['Beverly Hills High School'],"[('Beverly Hills High School', 41), ('Milken Community Schools', 2), ('El Rodeo School', 1)]"
Right,48.53,"['Beverly Hills, California', 'Los Angeles, California']",[]
Right,61.11,Jewish (religion),"[('Jewish (religion)', 11), ('Jewish', 2), ('Other', 2), ('Jewish. ♥ Jewish. ♥', 1), ('Islam', 1), (""Bahá'í"", 1)]"
Wrong,46.15,1996,"[('1997', 12), ('1995', 5), ('1996', 5), ('1954', 1), ('1998', 1), ('1990', 1), ('1994', 1)]"
Right,25.33,['UCLA'],[]
Right,81.03,['Beverly Hills High School'],"[('Beverly Hills High School', 47), ('Milken Community Schools', 4), ('Douglas Marshall', 1), ('Beverly Vista School', 1), ('El Rodeo School', 1), ('University of Southern California', 1), ('Sinai Akiba Academy', 1), ('Milken Community School', 1), ('Newport Harbor High', 1)]"
Right,51.39,"['Beverly Hills, California']",[]
Wrong,18.75,['SCI-Arc'],[]
Right,86.96,['Beverly Hills High School'],"[('Beverly Hills High School', 40), ('Milken Community Schools', 2), ('El Rodeo School', 1), ('University of Southern California', 1), ('Sinai Akiba Academy', 1), ('Milken Community School', 1)]"
Right,43.48,"['Beverly Hills, California']",[]
Right,57.14,Jewish (religion),"[('Jewish (religion)', 8), ('Other', 2), ('Islam', 1), (""Bahá'í"", 1), ('have none', 1), ('Jewish', 1)]"
Wrong,27.66,['Beverly Hills High School'],[]
Right,85.71,['Beverly Hills High School'],"[('Beverly Hills High School', 36), ('Milken Community Schools', 2), ('BHHS', 1), ('El Rodeo School', 1), ('Shrewsbury International School Bangkok, Thailand', 1), ('Newport Harbor High', 1)]"
Right,50.0,"['Beverly Hills, California', 'Los Angeles, California']",[]
Wrong,90.91,•Cant Say•,"[('Jewish (religion)', 10), ('Other', 1)]"
Right,66.67,Other,"[('Other', 2), ('Democratic Party', 1)]"
Wrong,65.96,['Milken Community Schools'],"[('Beverly Hills High School', 31), ('Milken Community Schools', 11), ('BHHS', 1), ('Solebury School', 1), ('University of Southern California', 1), ('Sinai Akiba Academy', 1), ('Milken Community School', 1)]"
Wrong,41.43,"['Beverly Hills, California']",[]
Right,50.85,"['Beverly Hills, California']","[('Beverly Hills, California', 30), ('Los Angeles, California', 21), ('Paris, France', 2), ('Manhattan, New York', 1), ('Huntington Beach, California', 1), ('Long Beach, California', 1), ('Moved in 2015', 1), ('Mexico City, Mexico', 1), ('San Francisco, California', 1)]"
Wrong,48.0,None.,[]
Right,37.5,Other,"[('Other', 3), ('viva mexico y calderon tambien', 1), ('What are your political beliefs?', 1), ('Fuck_politics', 1), ('Democratic Party', 1), ('Republican Party', 1)]"
Right,18.97,['UCLA'],[]
Right,79.25,['Beverly Hills High School'],"[('Beverly Hills High School', 42), ('Milken Community Schools', 5), ('BHHS', 1), ('El Rodeo School', 1), ('Beverly Hills High', 1), ('University of Southern California', 1), ('Sinai Akiba Academy', 1), ('Milken Community School', 1)]"
Wrong,21.15,['CSUN'],[]
Right,87.18,['Beverly Hills High School'],"[('Beverly Hills High School', 34), ('Horace Mann School', 1), ('El Rodeo School', 1), ('Beverly Hills High', 1), ('Palos Verdes Peninsula High', 1), ('Milken Community Schools', 1)]"
Wrong,45.45,"['Los Angeles, California', 'Cincinnati']",[]
Right,64.0,1996,"[('1996', 16), ('1997', 5), ('1995', 3), ('1994', 1)]"
Right,94.59,['Beverly Hills High School'],"[('Beverly Hills High School', 35), ('Horace Mann School', 1), ('El Rodeo School', 1)]"
Right,52.63,"['Beverly Hills, California']",[]
Right,21.88,['UCLA'],[]
Right,90.91,['Beverly Hills High School'],"[('Beverly Hills High School', 40), ('BHHS', 1), ('Horace Mann School', 1), ('Milken Community School', 1), ('Milken Community Schools', 1)]"
Wrong,50.7,"['Los Angeles, California']",[]
Wrong,23.81,"['Santa Monica College', 'Aish HaTorah College of Jewish & Talmudic Studies']",[]
Right,84.31,"['Beverly Hills High School', 'Hawthorne Elementary School']","[('Beverly Hills High School', 43), ('El Rodeo School', 2), ('Milken Community Schools', 2), ('BHHS', 1), ('University of Southern California', 1), ('Sinai Akiba Academy', 1), ('Milken Community School', 1)]"
Right,51.47,"['Beverly Hills, California', 'Los Angeles, California']",[]
Wrong,64.71,Jewish,"[('Jewish (religion)', 11), ('Islam', 1), (""Bahá'í"", 1), ('have none', 1), ('Jewish', 1), ('Catholic (church)', 1), ('Other', 1)]"
Wrong,66.67,Republican Party,"[('Other', 4), ('viva mexico y calderon tambien', 1), ('Democratic Party', 1)]"
Wrong,29.03,1998,"[('1997', 9), ('1996', 7), ('1998', 6), ('1995', 3), ('1999', 2), ('1994', 2), ('1954', 1), ('1990', 1)]"
Right,51.72,"['Beverly Hills, California', 'Los Angeles, California']",[]
Wrong,41.67,Christianity,"[('Jewish (religion)', 5), ('Christians', 1), ('Agnostic atheist', 1), ('Wumbology', 1), ('Respect every religion', 1), ('Jewish', 1), ('Catholic (church)', 1), ('Unitarian', 1)]"
Wrong,40.0,Health Care Party,"[('Other', 2), ('None', 1), ('Republican Party', 1), ('Very conservative', 1)]"
Right,38.71,1998,"[('1998', 12), ('1999', 5), ('1997', 3), ('1996', 3), ('1995', 2), ('1990', 2), ('1978', 1), ('1932', 1), ('1992', 1), ('1994', 1)]"
Wrong,18.33,['Universidad del Cine'],[]
Right,90.24,['Beverly Hills High School'],"[('Beverly Hills High School', 37), ('El Rodeo School', 1), ('University of Southern California', 1), ('Sinai Akiba Academy', 1), ('Milken Community Schools', 1)]"
Right,43.28,"['Beverly Hills, California', 'Buenos Aires, Argentina']",[]
Right,34.62,1997,"[('1997', 9), ('1996', 7), ('1995', 4), ('1990', 2), ('1994', 2), ('1954', 1), ('1998', 1)]"
Wrong,13.33,"['University of Washington', 'UC San Diego Jacobs School of Engineering']",[]
Right,100.0,"['The Priory Academy LSST', 'Beverly Hills High School']","[('Beverly Hills High School', 15)]"
Wrong,23.19,['UCLA School of Dentistry'],[]
Right,91.49,['Beverly Hills High School'],"[('Beverly Hills High School', 43), ('Douglas Marshall', 1), ('Horace Mann School', 1), ('Brentwood Science Magnet Elementary School', 1), ('El Rodeo School', 1)]"
Right,57.53,"['Beverly Hills, California']","[('Beverly Hills, California', 42), ('Los Angeles, California', 23), ('Paris, France', 2), ('Manhattan, New York', 1), ('Nesconset, New York', 1), ('Jackson, Wyoming', 1), ('Moved in 2015', 1), ('Great Neck, New York', 1), ('Mexico City, Mexico', 1)]"
Wrong,20.9,['University of Miami'],[]
Wrong,68.0,['Milken Community Schools'],"[('Beverly Hills High School', 34), ('Milken Community Schools', 8), ('BHHS', 1), ('Horace Mann School', 1), ('Beverly Vista School', 1), ('Solebury School', 1), ('University of Southern California', 1), ('Sinai Akiba Academy', 1), ('Buckley School', 1), ('Milken Community School', 1)]"
Wrong,45.07,"['Los Angeles, California']",[]
Wrong,20.27,"['Keck School of Medicine of USC', 'UCLA']",[]
Right,72.88,"['Milken Community Schools', 'Beverly Hills High School']","[('Beverly Hills High School', 43), ('Milken Community Schools', 7), ('El Rodeo School', 2), ('BHHS', 1), ('Solebury School', 1), ('University of Southern California', 1), ('Sinai Akiba Academy', 1), ('Milken Community School', 1), ('Newport Harbor High', 1), ('American School Foundation', 1)]"
Right,46.34,"['Beverly Hills, California']",[]
Right,25.0,['UCLA'],[]
Right,81.82,['Beverly Hills High School'],"[('Beverly Hills High School', 45), ('Milken Community Schools', 3), ('BHHS', 1), ('Beverly Vista School', 1), ('Episcopal High School (Houston)', 1), ('El Rodeo School', 1), ('University of Southern California', 1), ('Sinai Akiba Academy', 1), ('Newport Harbor High', 1)]"
Wrong,17.91,['Parsons School of Design'],[]
Right,73.47,['Beverly Hills High School'],"[('Beverly Hills High School', 36), ('Milken Community Schools', 8), ('El Rodeo School', 1), ('Solebury School', 1), ('University of Southern California', 1), ('Sinai Akiba Academy', 1), ('Milken Community School', 1)]"
Right,41.03,"['Beverly Hills, California']",[]
Wrong,19.05,['Boston University'],[]
Wrong,40.79,"['Los Angeles, California']",[]
Wrong,33.33,1994,"[('1997', 9), ('1996', 6), ('1998', 5), ('1999', 2), ('1995', 2), ('1994', 2), ('1990', 1)]"
Wrong,11.11,['Ronald Reagan UCLA Medical Center'],[]
Right,30.43,['UCLA'],[]
Wrong,40.0,1996,"[('1997', 10), ('1996', 8), ('1998', 3), ('1995', 2), ('1994', 2)]"
Wrong,10.0,['New England Patriots'],[]
Wrong,19.4,['Beverly Hills High School'],[]
Right,81.82,['Beverly Hills High School'],"[('Beverly Hills High School', 45), ('Milken Community Schools', 3), ('El Rodeo School', 2), ('BHHS', 1), ('University of Southern California', 1), ('Sinai Akiba Academy', 1), ('Campbell Hall School', 1), ('Newport Harbor High', 1)]"
Right,45.0,"['Beverly Hills, California', 'Los Angeles, California']",[]
Right,64.29,Jewish (religion),"[('Jewish (religion)', 9), ('•Cant Say•', 1), ('none of ur business', 1), ('Wumbology', 1), ('have none', 1), ('Other', 1)]"
Wrong,27.27,1990,"[('1997', 9), ('1998', 7), ('1996', 7), ('1999', 3), ('1995', 3), ('1990', 2), ('1994', 2)]"
Right,76.36,['Beverly Hills High School'],"[('Beverly Hills High School', 42), ('Milken Community Schools', 4), ('El Rodeo School', 2), ('BHHS', 1), ('Solebury School', 1), ('University of Southern California', 1), ('Sinai Akiba Academy', 1), ('Milken Community School', 1), ('Newport Harbor High', 1), ('American School Foundation', 1)]"
Right,40.74,"['Beverly Hills, California']",[]
Right,90.38,['Beverly Hills High School'],"[('Beverly Hills High School', 47), ('BHHS', 1), ('Horace Mann School', 1), ('Campbell Hall School', 1), ('Newport Harbor High', 1), ('Milken Community Schools', 1)]"
Right,46.91,"['Beverly Hills, California', 'Los Angeles, California']",[]
Wrong,57.14,Christians,"[('Jewish (religion)', 12), ('Cullenism', 1), ('JEW!!', 1), ('Christianity', 1), ('•Cant Say•', 1), ('Christians', 1), ('Jew - Reform', 1), ('Wumbology', 1), (""Bahá'í"", 1), ('Catholic (church)', 1)]"
Right,26.47,1998,"[('1998', 9), ('1996', 8), ('1997', 6), ('1990', 3), ('1999', 2), ('1995', 2), ('1994', 2), ('1978', 1), ('1992', 1)]"
Wrong,22.81,['USC Marshall School of Business'],[]
Wrong,47.89,"['Mexico City, Mexico']",[]
Right,61.11,Jewish (religion),"[('Jewish (religion)', 11), ('Jewish', 2), ('Other', 2), ('Islam', 1), (""Bahá'í"", 1), ('have none', 1)]"
Wrong,71.43,viva mexico y calderon tambien,"[('Other', 5), ('Democratic Party', 2)]"
Wrong,10.71,"['NBA', 'The Krusty Krab']",[]
Right,77.08,['Beverly Hills High School'],"[('Beverly Hills High School', 37), ('Milken Community Schools', 5), ('El Rodeo School', 2), ('Solebury School', 1), ('University of Southern California', 1), ('Sinai Akiba Academy', 1), ('Milken Community School', 1)]"
Right,43.84,"['Beverly Hills, California']",[]
Wrong,64.71,Jew,"[('Jewish (religion)', 11), ('Jewish', 2), ('Islam', 1), (""Bahá'í"", 1), ('have none', 1), ('Other', 1)]"
Wrong,29.17,1991,"[('1997', 7), ('1998', 5), ('1996', 4), ('1999', 2), ('1995', 2), ('1994', 2), ('1954', 1), ('1990', 1)]"
Right,95.24,['Beverly Hills High School'],"[('Beverly Hills High School', 40), ('El Rodeo School', 2)]"
Right,44.93,"['Beverly Hills, California']",[]
Wrong,44.0,1994,"[('1997', 11), ('1996', 6), ('1995', 4), ('1990', 2), ('1998', 1), ('1994', 1)]"
Right,97.67,['Beverly Hills High School'],"[('Beverly Hills High School', 42), ('El Rodeo School', 1)]"
Wrong,63.16,Islam,"[('Jewish (religion)', 12), ('Jewish', 2), ('none of ur business', 1), ('Jew - Reform', 1), (""Bahá'í"", 1), ('Jewish/Catholic', 1), ('Other', 1)]"
