Right/Wrong,Conf Pred Right,Actual,Ranking Array
Right,56.25,Jewish (religion),"[('Jewish (religion)', 9), ('Jewish', 2), ('Islam', 1), (""Bahá'í"", 1), ('have none', 1), ('Catholic (church)', 1), ('Other', 1)]"
Right,89.36,['Beverly Hills High School'],"[('Beverly Hills High School', 42), ('Beverly Hills High', 1), ('Campbell Hall School', 1), ('Milken Community School', 1), ('American School Foundation', 1), ('Milken Community Schools', 1)]"
Right,44.05,"['Beverly Hills, California']",[]
Wrong,63.16,Unitarian,"[('Jewish (religion)', 12), ('Jewish', 2), ('Jewish. ♥ Jewish. ♥', 1), ('Christianity', 1), ('none of ur business', 1), ('Wumbology', 1), (""Bahá'í"", 1)]"
Wrong,60.0,Very conservative,"[('Other', 6), ('Democratic Party', 2), ('viva mexico y calderon tambien', 1), ('Health Care Party', 1)]"
Right,35.48,1996,"[('1996', 11), ('1997', 6), ('1995', 3), ('1990', 3), ('1999', 2), ('1998', 2), ('1994', 2), ('1978', 1), ('1992', 1)]"
Wrong,6.06,['Roscomare Road Elementary School'],[]
Wrong,20.0,['Palisades Charter High School'],[]
Wrong,76.47,['Palisades Charter High School'],"[('Beverly Hills High School', 39), ('Milken Community Schools', 4), ('Shrewsbury International School Bangkok, Thailand', 1), ('Solebury School', 1), ('University of Southern California', 1), ('Sinai Akiba Academy', 1), ('Campbell Hall School', 1), ('Milken Community School', 1), ('Newport Harbor High', 1), ('American School Foundation', 1)]"
Wrong,43.66,"['Los Angeles, California']",[]
Wrong,8.33,['Hip Hop Artist/ Song Writer/ Singer'],[]
Right,92.5,['Beverly Hills High School'],"[('Beverly Hills High School', 37), ('Douglas Marshall', 1), ('El Rodeo School', 1), ('Milken Community School', 1)]"
Wrong,45.16,"['Los Angeles, California', 'Washington D.C.']",[]
Right,85.71,['Beverly Hills High School'],"[('Beverly Hills High School', 36), ('BHHS', 1), ('El Rodeo School', 1), ('Shrewsbury International School Bangkok, Thailand', 1), ('Milken Community School', 1), ('Newport Harbor High', 1), ('American School Foundation', 1)]"
Wrong,9.68,"['Cannabis Real Estate Consultants', ""Pacific Sotheby's International Realty""]",[]
Wrong,24.19,['UC San Diego'],[]
Right,84.0,['Beverly Hills High School'],"[('Beverly Hills High School', 42), ('Milken Community Schools', 4), ('El Rodeo School', 1), ('University of Southern California', 1), ('Sinai Akiba Academy', 1), ('Milken Community School', 1)]"
Wrong,47.69,"['Los Angeles, California']",[]
Right,10.34,['Teen Line'],[]
Right,75.47,['Beverly Hills High School'],"[('Beverly Hills High School', 40), ('Milken Community Schools', 7), ('El Rodeo School', 2), ('Solebury School', 1), ('University of Southern California', 1), ('Sinai Akiba Academy', 1), ('Milken Community School', 1)]"
Right,43.21,"['Beverly Hills, California']",[]
Wrong,30.0,1990,"[('1997', 9), ('1998', 6), ('1996', 6), ('1999', 2), ('1995', 2), ('1990', 2), ('1994', 2), ('1954', 1)]"
Right,18.97,['University of Southern California'],[]
Right,72.09,['Beverly Hills High School'],"[('Beverly Hills High School', 31), ('Milken Community Schools', 4), ('El Rodeo School', 2), ('BHHS', 1), ('Solebury School', 1), ('University of Southern California', 1), ('Sinai Akiba Academy', 1), ('Milken Community School', 1), ('Newport Harbor High', 1)]"
Wrong,19.44,['University of Washington'],[]
Right,89.8,['Beverly Hills High School'],"[('Beverly Hills High School', 44), ('El Rodeo School', 1), ('Solebury School', 1), ('Campbell Hall School', 1), ('American School Foundation', 1), ('Milken Community Schools', 1)]"
Wrong,26.47,1995,"[('1996', 9), ('1997', 8), ('1995', 4), ('1990', 4), ('1994', 3), ('1998', 2), ('1987', 1), ('1978', 1), ('1992', 1), ('1999', 1)]"
Wrong,18.46,"['UCLA School of Dentistry', 'UCLA School of Dentistry', 'UC Santa Barbara']",[]
Right,76.09,['Beverly Hills High School'],"[('Beverly Hills High School', 35), ('Milken Community Schools', 5), ('El Rodeo School', 2), ('Solebury School', 1), ('University of Southern California', 1), ('Sinai Akiba Academy', 1), ('Milken Community School', 1)]"
Wrong,17.57,['Beverly Hills High School'],[]
Right,43.01,"['Beverly Hills, California']",[]
Wrong,36.84,"['University of Southern California', ""Mount Saint Mary's College, Los Angeles, CA""]",[]
Wrong,15.0,"['USC Annenberg Media', 'CollegeFashionista']",[]
Wrong,23.81,['University of Southern California'],[]
Right,71.7,['Beverly Hills High School'],[]
Right,40.79,"['Beverly Hills, California']",[]
Right,85.71,Jewish (religion),"[('Jewish (religion)', 12), ('have none', 1), ('Jewish', 1)]"
Right,33.33,1996,"[('1996', 8), ('1998', 6), ('1997', 6), ('1994', 2), ('1999', 1), ('1995', 1)]"
Right,75.93,['Beverly Hills High School'],"[('Beverly Hills High School', 41), ('Milken Community Schools', 6), ('El Rodeo School', 2), ('BHHS', 1), ('Solebury School', 1), ('University of Southern California', 1), ('Sinai Akiba Academy', 1), ('Milken Community School', 1)]"
Right,45.95,"['Los Angeles, California', 'Beverly Hills, California']",[]
Right,75.0,Other,"[('Other', 3), ('Democratic Party', 1)]"
Wrong,31.43,1995,"[('1997', 11), ('1998', 8), ('1996', 6), ('1995', 4), ('1999', 2), ('1994', 2), ('1954', 1), ('1990', 1)]"
